                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.57572,                0.64354,                 1.0836,                0.64957,                0.66392,                0.65558,                0.38227,                 1.2305,                0.97781,                   1.48,               0.070055,              0.0033273,              0.0033273
                      1,                0.58762,                0.65451,                 1.0872,                0.54296,                0.69448,                0.61955,                 0.3573,                 1.2928,                0.95808,                  1.507,               0.040051,              0.0066573,              0.0066573
                      2,                0.60588,                0.67241,                 1.0921,                0.62596,                0.58777,                0.62076,                0.34298,                 1.3368,                 1.0376,                 1.5773,               0.010045,               0.009984,               0.009984
                      3,                0.62446,                0.70632,                 1.1044,                0.51974,                0.44474,                0.49937,                0.29266,                 1.3828,                 1.1455,                 1.6318,              0.0099851,              0.0099851,              0.0099851
                      4,                0.65415,                0.73806,                 1.1284,                0.69226,                0.53965,                0.54221,                0.30021,                 1.3673,                 1.1365,                 1.6121,              0.0099851,              0.0099851,              0.0099851
                      5,                0.65576,                0.74174,                 1.1268,                 0.5027,                0.52455,                0.53094,                0.31282,                 1.3877,                 1.1032,                 1.6258,              0.0099802,              0.0099802,              0.0099802
                      6,                0.66205,                0.75099,                 1.1335,                 0.6103,                0.51487,                0.52067,                0.29796,                 1.3561,                 1.1677,                 1.5721,              0.0099753,              0.0099753,              0.0099753
                      7,                0.64856,                 0.7425,                 1.1243,                 0.7389,                0.46514,                0.52981,                0.30957,                 1.3364,                 1.1617,                 1.5461,              0.0099703,              0.0099703,              0.0099703
                      8,                0.65051,                0.74638,                 1.1262,                0.57025,                0.62722,                 0.5937,                0.31459,                 1.3489,                 1.1046,                 1.5902,              0.0099654,              0.0099654,              0.0099654
                      9,                0.65081,                0.74036,                 1.1241,                 0.5339,                0.51603,                0.52918,                0.30407,                 1.3491,                 1.1498,                 1.5724,              0.0099604,              0.0099604,              0.0099604
                     10,                 0.6503,                0.74089,                 1.1231,                0.48969,                0.51151,                0.51216,                0.29839,                 1.3538,                 1.1814,                 1.5862,              0.0099555,              0.0099555,              0.0099555
                     11,                0.65047,                0.74029,                 1.1247,                0.53005,                0.51397,                0.53778,                0.31535,                 1.3321,                  1.097,                  1.547,              0.0099505,              0.0099505,              0.0099505
